Spellling,The Turning Wheel,10
St. Vincent,Daddy's Home,9
Porter Robinson,Nurture,8
Sematary,Rainbow Bridge 3,8
"Tyler, the Creator",CALL ME IF YOU GET LOST,8
Panopticon,...And Again Into the Light,8
BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",8
black midi,Cavalcade,8
Jeff Rosenstock,SKA DREAM,8
Twin Shadow,Twin Shadow,8
Backxwash,I Lie Here Buried With My Rings and My Dresses,8
Vince Staples,Vince Staples,7
Japanese Breakfast,Jubilee,7
Sweet Trip,"A Tiny House, in Secret Speeches, Polar Equals",7
Tkay Maidza,"Last Year Was Weird, Vol. 3",7
Gojira,Fortitude,7
Lucy Dacus,Home Video,7
Mach-Hommy,Pray For Haiti,7
Squid,Bright Green Field,7
Olivia Rodrigo,SOUR,7
Sons of Kemet,Black To The Future,7
J. Cole,The Off-Season,7
Iceage,Seek Shelter,7
Godspeed You! Black Emperor,G_d's Pee AT STATE'S END!,7
SPIRIT OF THE BEEHIVE,"ENTERTAINMENT, DEATH",7
Hiatus Kaiyote,Mood Valiant,7
Conway the Machine,La Maquina,7
Cannibal Corpse,Violence Unimagined,7
Dean Blunt,Black Metal 2,7
Xiu Xiu,Oh No,7
CZARFACE & MF DOOM,Super What?,6
MARINA,Ancient Dreams In A Modern Land,6
Polo G,Hall Of Fame,6
Lil Baby & Lil Durk,The Voice of the Heroes,6
Bladee,The Fool,6
Natalia Lafourcade,"Un Canto por México, Vol. II",6
Spectral Wound,A Diabolic Thirst,6
Iglooghost,Lei Line Eon,6
Death From Above 1979,Is 4 Lovers,6
"Young Stoner Life, Young Thug & Gunna",Slime Language 2,5
Quadeca,From Me To You,5
Doja Cat,Planet Her,5
Portal,Avow,5
Weezer,Van Weezer,5
DMX,Exodus,5
serpentwithfeet,DEACON,5
NF,CLOUDS (THE MIXTAPE),5
Pi'erre Bourne,The Life Of Pi'erre 5,5
King Gizzard and the Lizard Wizard,Butterfly 3000,5
DJ Khaled,KHALED KHALED,4
Lil Yachty,Michigan Boy Boat,4
Wolf Alice,Blue Weekend,4
Gaspard Augé,Escapades,4
Pop Smoke,Faith,4
girl in red,if i could make it go quiet,3
Greta Van Fleet,The Battle at Garden's Gate,2
Migos,Culture III,2
Modest Mouse,The Golden Casket,2
Twenty One Pilots,Scaled And Icy,2
Tones And I,Welcome To The Madhouse,None
